place,sector,employment,proportion
St. John's,212 Mining and quarrying (except oil and gas),455,0.004099653
Saint-Hyacinthe,336 Transportation equipment manufacturing,120,0.004092072
St. John's,336 Transportation equipment manufacturing,450,0.004054602
Peterborough,325 Chemical manufacturing,240,0.004050633
Hamilton,327 Non-metallic mineral product manufacturing,1560,0.004033509
"London, ON",326 Plastics and rubber products manufacturing,1015,0.004019643
Lethbridge,212 Mining and quarrying (except oil and gas),250,0.004003203
Salaberry-de-Valleyfield,327 Non-metallic mineral product manufacturing,75,0.003983006
"Sault Ste. Marie, ON",212 Mining and quarrying (except oil and gas),145,0.003963915
"Wetaskiwin, AB",212 Mining and quarrying (except oil and gas),25,0.003955696
"Winkler, MB",325 Chemical manufacturing,60,0.003952569
Prince George,212 Mining and quarrying (except oil and gas),185,0.003900074
Moose Jaw,327 Non-metallic mineral product manufacturing,70,0.00389755
Charlottetown,336 Transportation equipment manufacturing,145,0.003895755
Carleton Place,325 Chemical manufacturing,65,0.003880597
Regina,213 Support activities for mining and oil and gas extraction,510,0.003867299
Edmonton,326 Plastics and rubber products manufacturing,2855,0.00383039
Hamilton,326 Plastics and rubber products manufacturing,1480,0.003826663
